Proposer,Reg Action,Site Name,Area (sq mi),Hard (%),Mixed (%),Soft (%),Canyon & Gully (%),Coral & Sponge (% blocks),OF Spp Highest 20% (%),Conserv Val (Mean),Conserv Val (variance)
Collaborative,close,Arago Reef,67.04238769,15.93375948,75.08422563,8.982014904,0,2.403846154,0,0.545925121,0.129208319
Collaborative,close,Ascension Canyonhead,6.046458845,2.318296124,0,97.68170397,67.57302928,17.64705882,0,0.564463342,0.084473021
Collaborative,close,Astoria Deep,39.21907722,0,0,100,36.42791907,0.729927007,0,0.352078639,0.111840416
Collaborative,close,Big Sur Coast Modification,44.87379713,62.97676564,0,37.02323437,0,0,0,0.43216365,0.153861523
Collaborative,close,Biogenic 2 Northern Modification,44.04473605,0,0,100,52.4057022,0,0,0.386675833,0.087195056
Collaborative,close,Blunts Reef Modification,9.089441655,30.96736638,0,69.03263353,17.44442215,0,0,0.582144432,0.070457198
Collaborative,close,Brush Patch,45.63583076,0,0,100,0.2068607,0,0,0.429067302,0.103520929
Collaborative,close,Cordell Bank Modification 1,3.599473868,6.854089495,1.408942899,91.73696729,0,9.090909091,0,0.582541215,0.1359232
Collaborative,close,Cordell Bank Modification 2,4.106472668,32.50138798,0,67.49861082,0,21.21212121,0,0.546798069,0.079788049
Collaborative,close,Eel River Canyon Modification 2,2.461023634,0,0,100,100.0000002,10,36.63104934,0.559678799,0.070179379
Collaborative,close,Eel River Canyon Modification 4,11.34518773,0,0,100,58.72994347,0,0,0.456191482,0.123464678
Collaborative,close,Farallon Escarpment,126.3122352,0,0,100,7.658962715,0.5,0,0.473403821,0.097567183
Collaborative,close,Farallon Islands Modification,6.231859649,55.45669692,0,44.54330289,0,16.12903226,0,0.567795337,0.11713356
Collaborative,close,Gobbler's Knob,2.301935923,0,92.53403698,7.465962744,0,0,0,0.561939697,0.139216432
Collaborative,close,Grays Canyon Southern Modification,12.61904878,3.952557973,0,96.04744204,0,0,56.80510994,0.594415687,0.090911762
Collaborative,close,Mad River Rough Patch,5.089311261,20.46400886,0,79.53599108,26.64879998,7.692307692,7.084021433,0.468253864,0.112661884
Collaborative,close,MBNMS Ascension and Ano Nuevo Canyon Complex,19.53581862,27.68493922,0,72.31506077,72.43946722,8.571428571,0,0.545569092,0.114197334
Collaborative,close,MBNMS Between Partington Point and Lopez Point,73.82069626,0,0,100,27.36427041,0.900900901,0,0.458190822,0.097906698
Collaborative,close,MBNMS La Cruz Canyon,8.897228345,82.81534751,0,17.18465242,0,0,0,0.552482969,0.098861128
Collaborative,close,MBNMS Outer Soquel Canyon,6.205106032,35.93108456,0,64.06891509,20.60122076,62.96296296,0,0.544882754,0.075891238
Collaborative,close,MBNMS Point Sur Platform,10.66042154,74.41195594,0,25.58804406,0,20.45454545,0,0.61009943,0.080970073
Collaborative,close,MBNMS South of Davenport,6.253572594,52.93270393,0,47.06729621,0,61.76470588,0,0.581153314,0.112599451
Collaborative,close,MBNMS Southwest of Smooth Ridge,6.12913983,0,0,100,0,3.03030303,0,0.275718447,0.102826969
Collaborative,close,MBNMS Triangle South of Surveyors Knoll,9.349687872,8.951757333,0,91.04824267,0,0,0,0.466950927,0.136081658
Collaborative,close,MBNMS West of Piedras Blancas SMCA,2.713184084,2.045307699,0,97.95469231,0,0,0,0.592205851,0.096713609
